369,Hinduja Brothers,122,2014,0,10.0
370,Jack Ma,122,2014,49,10.0
371,Patrick Soon-Shiong,122,2014,62,10.0
372,Stephen Schwarzman,122,2014,67,10.0
386,Giorgio Armani,129,2014,79,9.9
396,Richard Kinder,130,2014,69,9.5
397,Tsai Eng-Meng,130,2014,57,9.5
400,"Edward Johnson, III.",132,2014,83,9.3
401,Eric Schmidt,132,2014,58,9.3
402,Hiroshi Mikitani,132,2014,49,9.3
403,"Samuel Newhouse, Jr.",132,2014,86,9.3
408,Dietrich Mateschitz,136,2014,69,9.2
410,Joao Roberto Marinho,137,2014,60,9.1
411,Jose Roberto Marinho,137,2014,58,9.1
412,Roberto Marinho,137,2014,66,9.1
413,Roman Abramovich,137,2014,47,9.1
426,Alain Wertheimer,141,2014,65,9.0
427,Charoen Sirivadhanabhakdi,141,2014,69,9.0
428,Gerard Wertheimer,141,2014,63,9.0
429,Silvio Berlusconi,141,2014,77,9.0
430,Vladimir Yevtushenkov,141,2014,65,9.0
441,Carlos Alberto Sicupira,146,2014,66,8.9
443,Alexei Kuzmichev,147,2014,51,8.8
444,Dmitry Rybolovlev,147,2014,47,8.8
445,Elaine Marshall,147,2014,71,8.8
446,Hasso Plattner,147,2014,70,8.8
447,Thomas Peterffy,147,2014,69,8.8
464,Ludwig Merckle,152,2014,49,8.6
466,Antonia Johnson,153,2014,70,8.5
467,Donald Newhouse,153,2014,84,8.5
468,Galen Weston,153,2014,73,8.5
469,Hank & Doug Meijer,153,2014,0,8.5
470,Michael Kadoorie,153,2014,72,8.5
476,Elon Musk,158,2014,42,8.4
477,Joseph Lau,158,2014,62,8.4
480,August von Finck,160,2014,83,8.3
481,Ricardo Salinas Pliego,160,2014,58,8.3
489,Andrei Skoch,162,2014,48,8.2
490,Pierre Omidyar,162,2014,46,8.2
491,Xavier Niel,162,2014,46,8.2
495,Margarita Louis-Dreyfus,165,2014,50,8.1
497,Pierre Castel,166,2014,87,8.0
506,Emmanuel Besnier,167,2014,43,7.9
508,Blair Parry-Okeden,168,2014,63,7.7
509,David Duffield,168,2014,73,7.7
510,Jean-Claude Decaux,168,2014,76,7.7
511,Jim Kennedy,168,2014,66,7.7
512,Reinhold Wuerth,168,2014,78,7.7
518,Jacques Servier,173,2014,92,7.6
519,Johann Rupert,173,2014,63,7.6
520,R Budi Hartono,173,2014,73,7.6
521,Tsai Wan-Tsai,173,2014,84,7.6
531,Charles Johnson,177,2014,81,7.5
532,James Goodnight,177,2014,71,7.5
533,John Malone,177,2014,72,7.5
534,"John Menard, Jr.",177,2014,74,7.5
535,Klaus Tschira,177,2014,73,7.5
536,Leonard Lauder,177,2014,80,7.5
558,Vincent Bollore,183,2014,61,7.4
560,Jim Pattison,184,2014,85,7.3
561,Michael Hartono,184,2014,74,7.3
564,Augusto & Giorgio Perfetti,186,2014,0,7.2
565,Heinz Hermann Thiele,186,2014,72,7.2
566,Johann Graf,186,2014,67,7.2
567,Peter Woo,186,2014,68,7.2
572,He Xiangjian,190,2014,71,7.1
574,Dietmar Hopp,191,2014,73,7.0
575,Eyal Ofer,191,2014,63,7.0
576,Graeme Hart,191,2014,58,7.0
577,Kumar Birla,191,2014,46,7.0
578,Ralph Lauren,191,2014,74,7.0
588,Charles Cadogan,196,2014,76,6.9
589,Eli Broad,196,2014,80,6.9
590,Richard DeVos,196,2014,88,6.9
591,Suleiman Kerimov,196,2014,47,6.9
592,Wei Jianjun,196,2014,50,6.9
593,Yang Huiyan,196,2014,32,6.9
611,Chung Mong-Koo,202,2014,75,6.8
612,Dustin Moskovitz,202,2014,29,6.8
613,Jan Koum,202,2014,38,6.8
617,Nassef Sawiris,205,2014,53,6.7
618,Nicky Oppenheimer,205,2014,68,6.7
621,Takemitsu Takizaki,207,2014,68,6.6
623,James Packer,208,2014,46,6.5
624,Leonid Fedun,208,2014,57,6.5
625,Micky Arison,208,2014,64,6.5
626,Oleg Deripaska,208,2014,46,6.5
644,Eva Gonda Rivera,212,2014,0,6.4
645,Pansy Ho,212,2014,51,6.4
646,Quek Leng Chan,212,2014,70,6.4
650,Dannine Avara,215,2014,50,6.3
651,"Herbert Kohler, Jr.",215,2014,75,6.3
652,Ivan Glasenberg,215,2014,57,6.3
653,Milane Frantz,215,2014,44,6.3
654,Paolo & Gianfelice Mario Rocca,215,2014,0,6.3
655,Patrick Drahi,215,2014,50,6.3
656,Randa Williams,215,2014,52,6.3
657,Scott Duncan,215,2014,31,6.3
679,"Rupert Johnson, Jr.",224,2014,72,6.2
680,S. Truett Cathy,224,2014,92,6.2
681,Sumner Redstone,224,2014,90,6.2
685,David Geffen,227,2014,71,6.1
686,Iskander Makhmudov,227,2014,50,6.1
687,Lucio Tan,227,2014,79,6.1
688,Pyotr Aven,227,2014,58,6.1
689,Richard LeFrak,227,2014,68,6.1
690,Sandra Ortega Mera,227,2014,45,6.1
691,"Thomas Frist, Jr.",227,2014,75,6.1
716,Chan Laiwa,234,2014,73,6.0
717,Denis O'Brien,234,2014,55,6.0
718,Filaret Galchev,234,2014,50,6.0
719,Ira Rennert,234,2014,79,6.0
720,James Irving,234,2014,85,6.0
721,Patrizio Bertelli,234,2014,68,6.0
728,Charles Schwab,240,2014,76,5.8
729,Dennis Washington,240,2014,79,5.8
730,Gayle Cook,240,2014,80,5.8
731,Leon Black,240,2014,62,5.8
736,Hui Ka Yan,244,2014,55,5.7
737,Hui Wing Mau,244,2014,63,5.7
738,Idan Ofer,244,2014,58,5.7
739,Isak Andic,244,2014,60,5.7
740,Jorn Rausing,244,2014,54,5.7
741,Leslie Wexner,244,2014,76,5.7
742,Patrick McGovern,244,2014,76,5.7
743,Sunil Mittal,244,2014,56,5.7
774,Ray Lee Hunt,253,2014,71,5.6
775,Stanley Kroenke,253,2014,66,5.6
776,Teh Hong Piow,253,2014,83,5.6
780,Arthur Irving,256,2014,84,5.5
781,Bruno Schroder,256,2014,81,5.5
782,Carlos and Alejandro Bulgheroni,256,2014,0,5.5
783,Jeffery Hildebrand,256,2014,54,5.5
784,Liu Yongxing,256,2014,65,5.5
