Petr Kellner,CZE,PPF (Prvn? privatizacn? fond),founder,male
Robert & Philip Ng,SGP,Sino Group,relation,male
Steve Cohen,USA,SAC Capital Advisors,founder,male
Andrew Beal,USA,Beal Bank,founder,male
Mikhail Prokhorov,RUS,Norilsk Nickel,owner,male
Alexei Mordashov,RUS,Severstal,general director,male
Hansjoerg Wyss,CHE,Synthes USA,founder/CEO,male
Charlene de Carvalho-Heineken,NLD,Heineken International,relation,female
Klaus-Michael Kuehne,DEU,Kuhne + Nagel,relation,male
Philip Anschutz,USA,Circle A Drilling,investor,male
Stefano Pessina,ITA,Alliance Boots,relation,male
Li Hejun,CHN,Hanergy Solar,founder/chairman,male
Sergei Galitsky,RUS,Magnit,founder,male
Kjeld Kirk Kristiansen,DEN,Lego,relation,male
Marcel Herrmann Telles,BRA,Ambev,founder,male
Charles Butt,USA,H-E-B supermarket,relation,male
Carrie Perrodo,FRA,Perenco,relation,female
David Tepper,USA,Appaloosa Management,founder,male
George Kaiser,USA,Kaiser-Francis Oil Company,relation,male
Hinduja Brothers,GBR,Hinduja Group,relation,male
Jack Ma,CHN,Alibaba group,founder,male
Patrick Soon-Shiong,USA,American Pharmaceutical Partners ,founder,male
Stephen Schwarzman,USA,Blackstone Group,founder,male
Giorgio Armani,ITA,Armani,founder,male
Richard Kinder,USA,Kinder Morgan Energy Partners,founder,male
Tsai Eng-Meng,Taiwan,Want Want China,relation,male
"Edward Johnson, III.",USA,Fidelity Investments,relation,male
Eric Schmidt,USA,google,executive chairman,male
Hiroshi Mikitani,JPN,Rakuten,founder,male
"Samuel Newhouse, Jr.",USA,Advance Publications,relation,male
Dietrich Mateschitz,AUT,Red Bull,founder,male
Joao Roberto Marinho,BRA,Globo Organizations,relation,male
Jose Roberto Marinho,BRA,Globo Organizations,relation,male
Roberto Marinho,BRA,Globo Organizations,relation,male
Roman Abramovich,RUS,Millhouse LLC,founder,male
Alain Wertheimer,FRA,Chanel,relation,male
Charoen Sirivadhanabhakdi,THA,ThaiBev,founder,male
Gerard Wertheimer,FRA,Chanel,relation,male
Silvio Berlusconi,ITA,Fininvest,founder,male
