278,Hans Rausing,inherited,Traded Sectors,True,father
281,Zong Qinghou,founder non-finance,Traded Sectors,True,not inherited
284,David & Simon Reuben,self-made finance,Financial,True,not inherited
285,Robert Kuok,self-made finance,Financial,True,not inherited
290,Andrey Melnichenko,privatized and resources,Resource Related,True,not inherited
291,Dhanin Chearavanont,inherited,Traded Sectors,True,father
292,Henry Sy,self-made finance,Financial,True,not inherited
302,Ananda Krishnan,founder non-finance,Non-Traded Sectors,True,not inherited
303,German Khan,privatized and resources,Resource Related,True,not inherited
306,Alejandro Santo Domingo Davila,inherited,Traded Sectors,True,father
307,Lee Kun-Hee,inherited,New Sectors,True,father
308,Miuccia Prada,inherited,Traded Sectors,True,father
309,Shiv Nadar,founder non-finance,New Sectors,True,not inherited
319,Petr Kellner,self-made finance,Financial,True,not inherited
320,Robert & Philip Ng,inherited,Financial,True,father
321,Steve Cohen,self-made finance,Financial,True,not inherited
331,Andrew Beal,self-made finance,Financial,True,not inherited
332,Mikhail Prokhorov,privatized and resources,Financial,True,not inherited
335,Alexei Mordashov,privatized and resources,Resource Related,True,not inherited
336,Hansjoerg Wyss,founder non-finance,New Sectors,True,not inherited
339,Charlene de Carvalho-Heineken,inherited,Traded Sectors,True,father
340,Klaus-Michael Kuehne,inherited,Traded Sectors,True,3rd generation
341,Philip Anschutz,self-made finance,Financial,True,not inherited
342,Stefano Pessina,executive,Non-Traded Sectors,True,not inherited
356,Li Hejun,privatized and resources,Resource Related,True,not inherited
357,Sergei Galitsky,founder non-finance,Non-Traded Sectors,True,not inherited
360,Kjeld Kirk Kristiansen,inherited,Traded Sectors,True,3rd generation
361,Marcel Herrmann Telles,founder non-finance,Traded Sectors,True,not inherited
364,Charles Butt,inherited,Non-Traded Sectors,True,3rd generation
366,Carrie Perrodo,inherited,0,True,spouse/widow
367,David Tepper,self-made finance,Financial,True,not inherited
368,George Kaiser,inherited,Resource Related,True,father
369,Hinduja Brothers,inherited,Financial,True,father
370,Jack Ma,founder non-finance,New Sectors,True,not inherited
371,Patrick Soon-Shiong,founder non-finance,New Sectors,True,not inherited
372,Stephen Schwarzman,self-made finance,Financial,True,not inherited
386,Giorgio Armani,founder non-finance,Traded Sectors,True,not inherited
396,Richard Kinder,founder non-finance,Traded Sectors,True,not inherited
397,Tsai Eng-Meng,inherited,Traded Sectors,True,father
400,"Edward Johnson, III.",inherited,Financial,True,father
401,Eric Schmidt,executive,New Sectors,True,not inherited
402,Hiroshi Mikitani,founder non-finance,Non-Traded Sectors,True,not inherited
403,"Samuel Newhouse, Jr.",inherited,Non-Traded Sectors,True,father
408,Dietrich Mateschitz,founder non-finance,Traded Sectors,True,not inherited
410,Joao Roberto Marinho,inherited,Non-Traded Sectors,True,father
411,Jose Roberto Marinho,inherited,Non-Traded Sectors,True,father
412,Roberto Marinho,inherited,Non-Traded Sectors,True,father
413,Roman Abramovich,privatized and resources,Resource Related,True,not inherited
426,Alain Wertheimer,inherited,Traded Sectors,True,3rd generation
427,Charoen Sirivadhanabhakdi,privatized and resources,Traded Sectors,True,not inherited
428,Gerard Wertheimer,inherited,Traded Sectors,True,3rd generation
429,Silvio Berlusconi,privatized and resources,Non-Traded Sectors,True,not inherited
430,Vladimir Yevtushenkov,privatized and resources,Non-Traded Sectors,True,not inherited
441,Carlos Alberto Sicupira,founder non-finance,Traded Sectors,True,not inherited
443,Alexei Kuzmichev,privatized and resources,Resource Related,True,not inherited
444,Dmitry Rybolovlev,executive,Traded Sectors,True,not inherited
445,Elaine Marshall,inherited,Financial,True,spouse/widow
446,Hasso Plattner,founder non-finance,New Sectors,True,not inherited
447,Thomas Peterffy,self-made finance,Financial,True,not inherited
464,Ludwig Merckle,inherited,New Sectors,True,4th generation
466,Antonia Johnson,inherited,Financial,True,4th generation
467,Donald Newhouse,inherited,Non-Traded Sectors,True,father
468,Galen Weston,inherited,Non-Traded Sectors,True,3rd generation
469,Hank & Doug Meijer,inherited,Non-Traded Sectors,True,3rd generation
470,Michael Kadoorie,inherited,Financial,True,father
476,Elon Musk,founder non-finance,Traded Sectors,True,not inherited
477,Joseph Lau,self-made finance,Financial,True,not inherited
480,August von Finck,inherited,Financial,True,father
481,Ricardo Salinas Pliego,inherited,Non-Traded Sectors,True,4th generation
489,Andrei Skoch,privatized and resources,Resource Related,True,not inherited
490,Pierre Omidyar,founder non-finance,New Sectors,True,not inherited
